id;puhelinnumero;sahkoposti;opiskelijatunnus;opintojen_aloitusvuosi
1;Clothing;mobile;Brunei Darussalam;1918
2;Garden Personal Loan Account;Unbranded heuristic Brand;Virginia orange;1911
3;mission-critical Nuevo Sol;Buckinghamshire Washington;magenta impactful customized;2078
4;JBOD;front-end Concrete;program Car e-business;2029
5;Dynamic hack;Music 1080p;vortals;1900
6;Hill Clothing;initiatives Human Path;innovative Auto Loan Account;1927
7;Supervisor;USB Assimilated Associate;interfaces;2033
8;Intelligent Cotton Chips Home Loan Account;Circles Shoes Generic Metal Sausages;Credit Card Account;1904
9;olive payment Buckinghamshire;implementation;B2C;2059
10;deposit;Ergonomic Cotton Pants calculate microchip;Refined Electronics;2064
